icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,z_score_max,zscore_anomaly,turning_anomaly
a423c4,10965.18,10972.8,10969.618021978024,251.49,252.16,251.7465934065934,0.0810999999999992,0.0789000000000044,3206.0,0.8834976789614303,False,False
a423d7,9136.38,9144.0,9137.814352941175,235.39,237.51,237.2163529411765,0.0587000000000017,0.0202000000000026,3306.0,0.9616848039367577,False,True
a42665,7909.56,7917.18,7914.167441860466,180.18,181.8,181.26356589147284,0.0390000000000014,0.1961000000000012,3592.0,1.185299981366194,False,True
a42680,8534.4,8534.4,8534.4,233.18,233.18,233.18,0.0,0.0,17.0,1.6098897365017601,False,False
a426a5,5433.06,5821.68,5654.04,173.39,176.46,174.88818181818178,0.0069000000000016,0.0874999999999914,2884.0,0.8033427847576288,False,True
a42a14,10972.8,10972.8,10972.8,224.89,225.88,225.4131092436975,0.1907999999999958,0.0741999999999905,3592.0,1.185299981366194,False,False
a42a5c,10561.32,10645.14,10600.399714285712,239.26,239.78,239.62571428571425,0.0007000000000019,0.0457999999999998,2641.0,0.7108727780048365,False,True
a42a91,449.58,472.44,470.1539999999999,69.45,71.0,70.845,0.003700000000002,0.0,192.0,3.012387235371905,True,False
a42e13,10675.62,10675.62,10675.62,241.69,241.69,241.68999999999997,0.0,0.0,296.0,1.3917476578205967,False,False
a42e48,7254.24,7391.4,7346.15625,241.22,242.9,242.515,0.0225000000000008,0.0257000000000005,1217.0,0.6777454854550735,False,True
a42ef4,114.3,8153.4,6185.160512820514,68.65,266.77,219.28316239316237,2.1429000000000045,8.008399999999995,3382.0,2.543456985261531,False,True
a42efc,9448.8,9448.8,9448.8,243.97,243.97,243.97,0.0,0.0,180.0,1.4824447227919766,False,False
a43458,10980.42,11277.6,11111.528823529412,220.73,222.62,221.56382352941176,5.148900000000005,1.7652999999999963,2688.0,2.1777876815643804,False,False
a4359b,11582.4,11590.02,11588.14430769231,235.2,235.84,235.59884615384613,0.029200000000003,0.2897999999999996,3592.0,1.185299981366194,False,False
a43667,11582.4,11582.4,11582.4,256.61,256.61,256.61,0.0,0.0,17.0,1.6098897365017601,False,False
a437ce,7010.4,7010.4,7010.399999999998,239.75,241.08,240.875,0.0201000000000064,0.0790000000000077,618.0,1.1399851154000424,False,True
a437da,10668.0,10668.0,10668.0,245.54,246.03,245.77111111111117,0.086000000000002,0.0376000000000118,3342.0,0.9898321689278755,False,False
a438c3,11582.4,11590.02,11585.7528,241.48,241.89,241.5729333333333,0.0245999999999995,0.0425000000000039,2659.0,0.9858890582309289,False,False
a43b85,3520.44,3550.92,3533.986666666667,150.39,150.46,150.42111111111114,0.004800000000003,0.0009000000000014,2511.0,1.4463468686918997,False,False
a43bc6,373.38,396.24,380.19789473684216,68.94,68.94,68.94,0.0046999999999997,0.0,2018.0,3.055537544192931,True,False
