icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration
408052,10965.18,11277.6,11209.019999999999,219.81,249.48,229.7688888888889,5.149900000000002,6.784200000000002,2867.0
408059,10972.8,10972.8,10972.8,208.45,210.26,209.09265486725658,0.044299999999999784,0.06590000000000096,2816.0
408067,10363.2,10363.2,10363.199999999995,196.28,196.98,196.5785454545455,0.051400000000001,0.04079999999999995,3062.0
40807a,9753.6,9753.6,9753.599999999999,212.87,213.82,213.3048507462687,0.11990000000000123,0.3064999999999998,3592.0
408086,11582.4,11582.4,11582.399999999998,243.81,243.94,243.83999999999997,0.031500000000001194,0.19239999999999924,986.0
4080a4,10972.8,10972.8,10972.8,233.36,233.75,233.5870731707317,0.019300000000001205,0.021300000000000097,2423.0
4080ad,5791.2,5791.2,5791.199999999999,171.64,172.23,171.8366071428571,0.014100000000006219,0.012399999999999967,2459.0
4080c2,2819.4,10980.42,3430.143,0.0,199.39,158.7495,6.207499999999996,0.3781000000000003,2706.0
4080f6,10972.8,10972.8,10972.800000000005,198.97,198.97,198.96999999999994,0.013200000000004763,0.00560000000000116,1798.0
4241a9,11574.78,11574.78,11574.78,226.85,227.77,227.195,0.06389999999999674,0.0472999999999999,2884.0
4242f4,12496.8,12496.8,12496.799999999997,258.62,259.47,258.8021428571428,0.07890000000000441,0.30859999999999843,1165.0
424334,10058.4,10058.4,10058.399999999998,208.02,221.17,210.40234375,0.17360000000000042,0.05529999999999902,3592.0
440002,11277.6,11277.6,11277.600000000002,271.8,272.28,272.07733333333334,0.13970000000000482,0.23870000000000857,1217.0
440018,11269.98,11277.6,11275.721095890412,251.81,251.81,251.81,0.03179999999999694,0.0032000000000005357,3095.0
44001f,11277.6,11277.6,11277.599999999999,228.09,228.09,228.09,0.012100000000003774,0.0042999999999997485,1331.0
440036,6789.42,11407.14,11175.076363636368,194.69,198.62,195.55363636363634,0.0636999999999972,0.07880000000000109,2884.0
440047,10447.02,10706.1,10546.426363636363,232.45,235.97,234.43318181818177,0.08829999999999671,0.05359999999999987,2884.0
440050,9441.18,9456.42,9447.760909090906,258.28,260.35,258.84272727272725,0.0018000000000029104,0.14209999999999923,2884.0
440052,10652.76,10668.0,10664.315604395604,238.44,244.59,240.52758241758244,0.10299999999999443,0.09440000000000026,3206.0
440060,10668.0,10675.62,10669.016,251.85,252.96,252.58600000000004,0.1589000000000027,0.24629999999999086,1217.0
440065,11346.18,11506.2,11426.058620689659,198.61,201.57,199.63678160919537,0.054999999999999716,0.028899999999999704,3306.0
440072,11285.22,11353.8,11296.303636363635,248.59,248.97,248.93181818181822,0.06550000000000011,0.10040000000000004,2884.0
440073,11559.54,11567.16,11566.88785714286,246.02,246.7,246.29312499999995,0.07099999999999795,0.04100000000000037,3062.0
44007c,10668.0,10668.0,10668.0,274.39,276.2,275.41904255319156,0.11370000000000147,0.30260000000000176,3575.0
