icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,PCA1,PCA2,kmeans_cluster
0101bb,9448.8,9448.8,9448.8,238.28,238.28,238.28000000000003,0.0,0.0,192.0,-1.0019427783776993,-1.0580662838998038,2
0101bc,11277.6,11277.6,11277.6,247.96,248.79,248.140625,0.0796999999999954,0.0787000000000013,2706.0,-1.9815152364427044,-0.3580563833308619,2
0101cd,10279.38,10340.34,10299.700000000004,223.47,227.71,224.88333333333327,0.0100000000000015,0.0561000000000007,338.0,-0.991426589143872,-0.9878743493323062,2
0101e0,11269.98,11277.6,11277.282500000005,269.66,270.03,270.0043055555555,0.011499999999998,0.0201999999999999,2122.0,-2.4820422554543584,-0.5893678274441495,2
010237,10058.4,10058.4,10058.4,235.84,235.84,235.84,0.0,0.0,17.0,-1.1454651214218246,-1.113213401082465,2
01023a,10652.76,10980.42,10961.8272,235.09,236.21,235.9768,5.1235,3.6463,2867.0,-1.65192111986967,1.8922920640007073,0
01023f,10363.2,10363.2,10363.2,27.07,28.48,27.58088495575221,0.0165000000000006,0.0187999999999988,3592.0,3.6792086789275062,0.24027263530444362,1
010242,9814.56,9883.14,9819.835384615384,247.24,247.65,247.6184615384616,0.0238000000000013,0.0209999999999972,286.0,-1.3663832000165268,-1.039340796601093,2
010244,7886.7,7993.38,7932.073636363639,242.44,246.68,244.1127272727273,0.0181000000000004,0.103200000000001,2884.0,-0.7440907650370788,-0.25305651010835445,2
010245,10668.0,10683.24,10676.10054054054,252.19,256.09,254.0317117117117,4.570799999999998,7.446200000000001,3236.0,-2.078545731554341,2.398957615817352,0
01025a,10355.58,10370.82,10356.631034482756,208.9,221.84,210.10724137931035,0.0904000000000024,0.1081000000000003,3254.0,-0.8474870150821163,-0.10075872300499315,2
01025c,10660.38,10675.62,10665.2568,235.44,237.25,236.5376,0.0867000000000004,0.1356999999999999,2867.0,-1.4890857437274434,-0.26971646646586706,2
018086,10965.18,10965.18,10965.18,234.29,234.86,234.40875,0.0868999999999999,0.0114000000000018,812.0,-1.4599142484821441,-0.8719138373705492,2
0180a3,8503.92,8717.28,8592.935454545455,251.76,253.58,252.33136363636368,0.1156000000000005,0.0636000000000009,2884.0,-1.173007478295396,-0.25384041703084914,2
0180a4,10355.58,10363.2,10361.878163265304,238.85,238.85,238.8499999999999,0.1721000000000003,0.0215999999999993,3592.0,-1.4713461878977319,-0.05962683200763983,2
020057,9448.8,9448.8,9448.800000000005,237.82,238.31,238.01600000000008,0.0089000000000041,0.0422000000000002,2831.0,-1.1046159701249758,-0.3050882105729087,2
02006e,10363.2,10363.2,10363.200000000004,207.58,207.58,207.58,0.0360000000000013,0.0149000000000008,374.0,-0.5764686840655269,-0.9575412812816093,2
020072,10668.0,10675.62,10670.770909090908,274.12,274.58,274.1827272727273,0.0103000000000008,0.0013999999999994,1243.0,-2.34511297945348,-0.8371150489112985,2
02007a,10363.2,10363.2,10363.2,265.01,267.19,266.207421875,0.1766000000000005,0.1965,3592.0,-2.1409633923077114,-0.07139966369403777,2
0200ca,12192.0,12192.0,12192.0,221.4,221.4,221.4,0.0,0.0,317.0,-1.541056133470078,-1.039916754473995,2
0200cb,12420.6,12420.6,12420.6,255.0,255.0,255.0,0.0,0.0,233.0,-2.435993491629339,-1.1225314871842234,2
0200ea,11887.2,11887.2,11887.199999999995,252.9,252.9,252.9,0.0067000000000021,0.0060999999999999,2001.0,-2.2730565205198134,-0.6100901020180489,2
0200ed,10241.28,10515.6,10362.353333333334,257.27,259.53,257.995,0.0919000000000025,0.0864000000000002,2867.0,-1.9215995667854775,-0.29796073707093773,2
0200ef,9144.0,10668.0,9628.90909090909,203.27,235.62,232.26818181818183,0.8643000000000001,1.1603,2884.0,-0.935715646784393,0.28173883039436554,2
02010d,11269.98,11277.6,11272.898297872338,206.02,227.17,218.67446808510635,3.6411999999999978,5.4879,3306.0,-1.366883173473728,1.8920039759717635,0
020111,11277.6,11277.6,11277.6,217.26,217.26,217.26,0.0,0.0,127.0,-1.117087721728851,-1.0716166437232164,2
020112,10668.0,10668.0,10668.0,277.89,279.2,278.70080459770105,0.1078000000000045,0.0518,3169.0,-2.529825055279128,-0.2623612423009925,2
02012b,11574.78,11582.4,11576.511818181818,258.85,260.31,259.3109090909091,0.0829999999999984,0.0989999999999999,2884.0,-2.3659447617692817,-0.3256237593682703,2
02013a,10363.2,10668.0,10643.616000000002,233.45,276.61,271.4308,3.2804,3.9073,2867.0,-2.154895863629984,1.3884848564757029,0
02013c,11269.98,11277.6,11274.136363636366,277.22,277.38,277.2272727272728,0.0356999999999985,0.1319999999999996,2884.0,-2.69392844732842,-0.36195805139727044,2
02013e,1280.16,1318.26,1292.86,130.19,130.19,130.19000000000003,0.0011999999999972,0.0050999999999987,368.0,4.437501796546907,-0.695352911783716,1
020140,586.74,10965.18,7372.643076923076,106.73,228.04,186.04807692307685,2.897100000000002,4.799,2706.0,1.3348804779275643,2.036760476764239,0
020175,11277.6,11285.22,11284.305599999998,261.53,262.86,262.5812,0.534799999999997,9.0522,2867.0,-2.4288827119615695,1.2481725560139747,2
