icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,iforest_anomaly,iforest_score
aa3086,10668.0,10668.0,10668.0,256.07,256.23,256.10636363636354,0.0258000000000002,0.0790999999999968,2884.0,0,-0.11854338067402775
aa3226,5707.38,6027.42,5825.836363636363,202.98,207.12,205.9472727272727,0.0043000000000006,0.1002000000000009,2884.0,0,-0.08337654195159278
aa3417,10058.4,10058.4,10058.4,259.6,259.6,259.6,0.0,0.0,245.0,0,-0.09124178839078517
aa35e1,4183.38,4267.2,4213.11049180328,188.99,189.38,189.26344262295083,0.0060999999999964,0.008899999999997,2001.0,0,-0.05210896245348917
aa3ae2,9448.8,9448.8,9448.8,246.26,246.26,246.26000000000008,0.0,0.0,233.0,0,-0.09919942185528013
aa3ae5,8839.2,10363.2,9485.775737704917,225.65,241.09,235.07040983606555,2.610299999999995,5.552899999999994,3592.0,0,-0.03926324494872113
aa3b05,9243.06,9380.22,9308.11575,243.32,243.82,243.5575,0.0141999999999953,0.0751999999999952,2221.0,0,-0.11483835954061145
aa3b85,10668.0,10668.0,10668.0,266.26,267.39,266.739512195122,0.0266999999999981,0.132799999999996,3169.0,0,-0.09503785751744148
aa4252,7353.3,7437.12,7410.103636363638,235.31,242.46,237.59454545454545,0.0721000000000025,0.0494000000000056,2884.0,0,-0.08852989569154274
aa42aa,8839.2,8839.2,8839.199999999999,242.32,242.94,242.8721875,0.1559000000000026,0.0467000000000012,3592.0,0,-0.08785757662719701
aa44cd,3230.88,3596.64,3382.9751999999994,153.09,154.87,153.6508,0.0782000000000024,0.0341999999999984,2867.0,0,-0.036293412425300264
aa466f,3977.64,4472.94,4368.292,137.45,143.0,141.08666666666667,0.0084999999999979,0.1173999999999892,1217.0,0,-0.011788380339828541
aa4953,9890.76,10088.88,9978.736363636364,232.92,235.56,234.44818181818184,0.0380000000000038,0.101300000000009,2884.0,0,-0.13222416204163684
aa4c3e,11277.6,11551.92,11501.12,242.76,248.13,243.8340000000001,3.4743999999999997,7.623699999999999,2867.0,0,-0.038789931393353516
aa4d77,11262.36,11269.98,11268.612307692303,237.5,238.52,238.1255128205128,0.0671000000000034,0.0099999999999909,1994.0,0,-0.11444163824922549
aa4ee9,9136.38,9144.0,9141.05894736842,234.14,234.19,234.17421052631585,0.0007999999999981,0.0104000000000041,2018.0,0,-0.10902900840764679
aa5130,8176.26,8290.56,8276.492307692308,231.88,231.88,231.88000000000005,0.0391000000000048,0.0186999999999954,286.0,0,-0.08242541020186966
aa51fe,6393.18,10972.8,6991.574117647059,197.7,222.02,202.4794117647059,2.467400000000005,7.526899999999998,2884.0,0,-0.0065037741469382016
aa5237,7292.34,7757.16,7473.3912,216.86,217.97,216.9608,0.1135999999999981,0.0246999999999957,2867.0,0,-0.09000245321297912
aa5457,10355.58,10355.58,10355.579999999998,222.81,226.07,225.37200000000004,0.011499999999998,0.0734000000000065,374.0,0,-0.10324198031064424
aa55b5,975.36,975.36,975.36,116.63,116.63,116.63,0.0,0.0,74.0,0,0.008710474816964298
aa55ee,3642.36,3970.02,3776.520638297874,181.92,189.08,185.99691489361712,0.0112999999999985,0.0765999999999991,2782.0,0,-0.04583602350819321
aa5657,9753.6,9753.6,9753.6,229.45,229.87,229.66,0.0065999999999988,0.0055999999999869,178.0,0,-0.10095290573014098
aa568e,11277.6,11277.6,11277.600000000002,207.08,214.23,209.3472727272727,0.0215999999999993,0.0444999999999993,2389.0,0,-0.0944083131518802
aa568f,10363.2,10972.8,10705.170731707318,241.79,246.6,244.6239024390244,5.9018000000000015,8.310200000000009,3184.0,0,-0.016321276939561813
aa56b3,10972.8,10972.8,10972.799999999996,226.26,227.38,226.60400000000007,0.1452000000000026,0.1463999999999998,1217.0,0,-0.10659442699331956
aa56b4,-53.34,10668.0,8931.275,198.58,240.68,233.68666666666664,8.0001,12.662800000000004,2884.0,0,0.09118320119714629
